id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sig
YPR192W,202.4076866,-1.348091442,0.334512563,-4.030017381,5.58E-05,NA,Down
YBR297W,438.1294732,-1.359644551,0.337532849,-4.028184386,5.62E-05,NA,Down
YMR173W,231.883083,-2.133719486,0.534471727,-3.992202728,6.55E-05,NA,Down
YIL042C,696.7907548,-1.079218678,0.270823307,-3.984954946,6.75E-05,NA,Down
YOR273C,762.8644901,-1.177890014,0.296749151,-3.969312162,7.21E-05,NA,Down
YPL017C,1581.656375,-2.863663257,0.727038071,-3.938807845,8.19E-05,NA,Down
YDR034W-B,246.8538982,-2.998890406,0.774490012,-3.87208403,0.000107909,NA,Down
YGR233C,2328.196426,-2.086040801,0.54568481,-3.822794339,0.000131948,0.011787339,Down
YER053C-A,32.73040349,1.86894573,0.48967453,3.816710109,0.000135243,NA,Up
YCL030C,7573.675333,-1.309496788,0.34404109,-3.80622206,0.000141106,0.012101225,Down
YER062C,10428.19239,-2.349927739,0.618988508,-3.796399623,0.000146813,0.012106407,Down
YER158C,862.0456404,-1.817168497,0.483794686,-3.756073704,0.0001726,NA,Down
YBR050C,265.4164754,-2.384492658,0.634891043,-3.755750981,0.000172822,NA,Down
YFL014W,24967.24156,-2.771119302,0.743524508,-3.727004652,0.000193769,0.013094485,Down
YFR053C,5607.683936,-2.339574786,0.62810095,-3.724838793,0.00019544,0.013094485,Down
YGR254W,48810.29595,-2.719213348,0.734315183,-3.703060226,0.000213014,0.013839474,Down
YNR034W-A,649.1504112,-2.712963892,0.732733988,-3.702522248,0.000213467,NA,Down
YOL052C-A,1652.757211,-2.680359869,0.726081049,-3.691543628,0.000222897,NA,Down
YMR250W,1935.771529,-2.304632001,0.624661209,-3.689411106,0.000224774,0.014173968,Down
YPL054W,306.2454521,-2.559233448,0.698787714,-3.662390447,0.000249873,NA,Down
YPL014W,618.6624563,-1.320833957,0.361884871,-3.649873384,0.00026237,NA,Down
YPL223C,2221.229496,-4.705982859,1.290328834,-3.64711904,0.000265197,0.015713556,Down
YMR251W-A,24993.30557,-2.017636732,0.554664008,-3.63758366,0.000275208,0.015713556,Down
YEL060C,2675.646686,-1.621865321,0.44623995,-3.634513942,0.000278505,0.015713556,Down
YLR346C,410.5502995,-2.482502462,0.683345591,-3.632865267,0.000280291,NA,Down
YCL037C,400.9510389,-1.97268393,0.543571537,-3.629115574,0.000284394,NA,Down
YML128C,4327.332297,-2.660796397,0.734793816,-3.621146964,0.0002933,0.01612397,Down
YGL156W,896.2227717,-1.925100694,0.533080369,-3.611276662,0.000304693,NA,Down
YPL268W,2008.004383,-1.794906456,0.500296739,-3.587683702,0.000333629,0.017708246,Down
YDR017C,5175.393801,-1.601757588,0.446944464,-3.583795563,0.000338637,0.017708246,Down
tN(GUU)F,5.852991945,-5.956373715,1.675261968,-3.555487934,0.000377278,NA,Down
YBR145W,1371.151999,-1.552364516,0.436868241,-3.553392925,0.000380296,NA,Down
YOL155C,5023.440435,-2.139731024,0.603970867,-3.542771911,0.000395945,0.01929332,Down
YKR050W,1421.359002,-1.192863355,0.336970458,-3.539964196,0.000400181,NA,Down
YCL048W-A,350.1261635,-5.161525915,1.460126392,-3.534985698,0.000407797,NA,Down
YDR005C,2703.849398,-1.960811882,0.555562226,-3.529419008,0.000416473,0.019842632,Down
YGR138C,2530.778314,-1.385622797,0.394399931,-3.513242998,0.000442672,0.020632384,Down
YCR099C,121.9335956,1.215883954,0.347715529,3.49677783,0.000470914,NA,Up
YHL002C-A,20.18962256,2.78225436,0.797802806,3.487396056,0.000487748,NA,Up
YDL184C,32236.07553,2.045326078,0.587051471,3.484066012,0.000493858,0.022528316,Up
YKL163W,556.7959264,-2.133411157,0.61313985,-3.479485402,0.000502378,NA,Down
YPR078C,114.4516799,-2.551034528,0.735849525,-3.466788308,0.000526717,NA,Down
YNL116W,1049.930243,-1.044716637,0.301380812,-3.466433813,0.000527412,NA,Down
snR4,232.9461171,1.030079519,0.297220089,3.465712976,0.000528828,NA,Up
YGR087C,78.62144806,-2.18343334,0.631682567,-3.456535692,0.000547167,NA,Down
YJL052W,23527.21962,-4.2140625,1.22084401,-3.451761623,0.00055694,0.024508367,Down
YLR264C-A,13024.36553,2.411077094,0.698817977,3.450221907,0.000560126,0.024508367,Up
YER076W-A,82.74611781,-1.769468551,0.513332822,-3.447020089,0.000566806,NA,Down
tD(GUC)G1,4.371961498,5.624794336,1.639154756,3.431521225,0.000600206,NA,Up
YDL021W,875.4939366,-2.581494832,0.753704188,-3.425076935,0.000614625,NA,Down
